价格,销量,店名
14,90,一点点
11,65,一点点
14,27,一点点
15,34,一点点
17,15,一点点
11,33,一点点
14,380,一点点
11,252,一点点
14,228,一点点
11,183,一点点
11,86,一点点
14,132,一点点
24,19,一点点
19,18,一点点
19,25,一点点
15,41,一点点
19,2,一点点
24,2,一点点
14,18,一点点
18,22,一点点
14,4,一点点
18,9,一点点
13,9,一点点
16,8,一点点
14,60,一点点
14,11,一点点
18,20,一点点
8,11,一点点
10,13,一点点
8,11,一点点
10,15,一点点
8,16,一点点
10,37,一点点
8,15,一点点
10,15,一点点
13,14,一点点
16,16,一点点
13,8,一点点
16,8,一点点
13,2,一点点
16,0,一点点
13,13,一点点
16,17,一点点
14,9,一点点
18,13,一点点
18,3,一点点
11,16,一点点
14,22,一点点
11,35,一点点
14,50,一点点
12,14,一点点
15,18,一点点
14,17,一点点
14,46,一点点
16,5,一点点
13,13,一点点
16,16,一点点
13,13,一点点
16,30,一点点
14,65,一点点
18,33,一点点
14,10,一点点
18,15,一点点
15,15,一点点
19,16,一点点
12,24,一点点
15,34,一点点
11,45,一点点
14,70,一点点
8,4,一点点
10,1,一点点
8,3,一点点
10,5,一点点
11,16,一点点
14,14,一点点
11,6,一点点
14,3,一点点
11,6,一点点
14,17,一点点
11,2,一点点
14,7,一点点
11,12,一点点
14,15,一点点
15,8,一点点
22,9,一点点
12,6,一点点
15,4,一点点
14,8,一点点
18,11,一点点
14,27,一点点
18,14,一点点
14,5,一点点
18,8,一点点
14,26,一点点
18,7,一点点
14,10,一点点
18,9,一点点
15,5,一点点
19,2,一点点
16,6,一点点
20,12,一点点
17,15,一点点
22,4,一点点
17,6,一点点
22,3,一点点
17,5,一点点
22,7,一点点
13,9,一点点
16,1,一点点
13,16,一点点
16,8,一点点
14,4,一点点
18,8,一点点
16,18,一点点
20,11,一点点
13,2,一点点
16,2,一点点
12,25,COCO
15,9,COCO
20,1,COCO
13,10,COCO
15,9,COCO
16,8,COCO
16,52,COCO
16,68,COCO
13,17,COCO
15,11,COCO
12,7,COCO
14,29,COCO
13,16,COCO
15,22,COCO
11,23,COCO
16,19,COCO
12,9,COCO
14,8,COCO
15,9,COCO
14,0,COCO
16,5,COCO
14,7,COCO
10,82,COCO
12,122,COCO
11,21,COCO
13,178,COCO
10,4,COCO
12,13,COCO
16,45,COCO
11,25,COCO
10,19,COCO
12,16,COCO
10,27,COCO
12,27,COCO
10,28,COCO
12,28,COCO
10,9,COCO
12,11,COCO
9,15,COCO
11,55,COCO
9,25,COCO
11,34,COCO
9,7,COCO
11,10,COCO
9,13,COCO
11,20,COCO
13,19,COCO
15,28,COCO
16,4,COCO
18,15,COCO
9,51,COCO
7,12,COCO
13,6,COCO
18,15,COCO
18,9,COCO
20,3,COCO
20,5,COCO
17,4,COCO
16,183,COCO
12,16,COCO
14,19,COCO
14,22,COCO
11,15,COCO
11,5,COCO
13,76,COCO
16,20,COCO
15,29,COCO
16,69,小眷村
19,98,小眷村
13,49,小眷村
16,37,小眷村
27,260,小眷村
21,97,小眷村
24,149,小眷村
17,165,小眷村
21,241,小眷村
20,111,小眷村
26,81,小眷村
20,44,小眷村
13,552,小眷村
15,1213,小眷村
10,762,小眷村
12,1857,小眷村
14,90,小眷村
17,203,小眷村
13,165,小眷村
15,283,小眷村
13,81,小眷村
13,203,小眷村
11,135,小眷村
13,284,小眷村
13,48,小眷村
16,56,小眷村
15,43,小眷村
14,112,小眷村
17,154,小眷村
23,110,小眷村
12,39,小眷村
14,67,小眷村
10,19,小眷村
12,28,小眷村
8,25,小眷村
10,50,小眷村
15,110,小眷村
16,78,小眷村
16,53,小眷村
18,59,小眷村
14,35,小眷村
17,45,小眷村
20,44,小眷村
18,34,小眷村
20,38,小眷村
19,22,小眷村
21,35,小眷村
19,108,小眷村
21,46,小眷村
19,14,小眷村
23,15,小眷村
14,26,小眷村
16,32,小眷村
21,415,小眷村
16,119,小眷村
18,511,小眷村
18,35,小眷村
20,163,小眷村
19,89,小眷村
17,10,小眷村
19,15,小眷村
19,2,小眷村
21,4,小眷村
19,14,小眷村
21,7,小眷村
33,96,喜茶甲
21,404,喜茶甲
26,11,喜茶甲
25,237,喜茶甲
25,37,喜茶甲
29,267,喜茶甲
27,372,喜茶甲
32,221,喜茶甲
21,74,喜茶甲
25,91,喜茶甲
25,37,喜茶甲
32,41,喜茶甲
31,27,喜茶甲
22,51,喜茶甲
27,41,喜茶甲
21,36,喜茶甲
27,162,喜茶甲
28,37,喜茶甲
29,47,喜茶甲
21,67,喜茶甲
22,36,喜茶甲
26,26,喜茶甲
25,41,喜茶甲
29,64,喜茶甲
29,779,喜茶甲
27,40,喜茶甲
29,119,喜茶甲
32,51,喜茶甲
31,49,喜茶甲
32,32,喜茶甲
25,34,喜茶甲
22,0,喜茶甲
29,61,喜茶甲
22,34,喜茶甲
21,151,喜茶甲
22,255,喜茶甲
27,42,喜茶甲
28,22,喜茶甲
26,32,喜茶甲
29,20,喜茶甲
16,2,喜茶甲
13,22,喜茶甲
16,36,喜茶甲
22,19,喜茶甲
33,80,喜茶乙
21,226,喜茶乙
28,268,喜茶乙
26,350,喜茶乙
25,124,喜茶乙
25,36,喜茶乙
29,795,喜茶乙
27,325,喜茶乙
32,254,喜茶乙
21,235,喜茶乙
25,84,喜茶乙
25,34,喜茶乙
32,85,喜茶乙
31,39,喜茶乙
22,45,喜茶乙
27,40,喜茶乙
21,56,喜茶乙
28,64,喜茶乙
28,65,喜茶乙
27,43,喜茶乙
28,30,喜茶乙
29,12,喜茶乙
21,24,喜茶乙
22,22,喜茶乙
26,18,喜茶乙
25,32,喜茶乙
29,32,喜茶乙
29,121,喜茶乙
27,52,喜茶乙
29,42,喜茶乙
32,41,喜茶乙
31,45,喜茶乙
27,11,喜茶乙
32,7,喜茶乙
25,28,喜茶乙
25,27,喜茶乙
23,65,喜茶乙
22,12,喜茶乙
19,14,喜茶乙
22,19,喜茶乙
22,14,喜茶乙
28,52,喜茶乙
21,33,喜茶乙
22,55,喜茶乙
27,21,喜茶乙
28,21,喜茶乙
26,23,喜茶乙
29,13,喜茶乙
9,4,喜茶乙
16,10,喜茶乙
13,17,喜茶乙
16,9,喜茶乙
16,3,喜茶乙
22,7,喜茶乙
29,13,乐乐茶
35,28,乐乐茶
35,15,乐乐茶
25,487,乐乐茶
27,423,乐乐茶
28,339,乐乐茶
22,233,乐乐茶
22,175,乐乐茶
21,501,乐乐茶
21,175,乐乐茶
28,26,乐乐茶
33,369,乐乐茶
29,370,乐乐茶
29,243,乐乐茶
29,246,乐乐茶
23,233,乐乐茶
25,1041,乐乐茶
25,307,乐乐茶
19,342,乐乐茶
22,95,乐乐茶
16,111,乐乐茶
25,189,乐乐茶
25,360,乐乐茶
25,341,乐乐茶
25,23,奈雪的茶
29,13,奈雪的茶
32,171,奈雪的茶
33,21,奈雪的茶
23,101,奈雪的茶
22,371,奈雪的茶
29,49,奈雪的茶
29,78,奈雪的茶
30,61,奈雪的茶
28,209,奈雪的茶
25,49,奈雪的茶
29,30,奈雪的茶
25,141,奈雪的茶
23,48,奈雪的茶
17,20,奈雪的茶
25,114,奈雪的茶
27,228,奈雪的茶
26,171,奈雪的茶
25,124,奈雪的茶
21,291,奈雪的茶
19,29,奈雪的茶
25,3,奈雪的茶
23,16,奈雪的茶
32,6,奈雪的茶
25,2,奈雪的茶
25,6,奈雪的茶
22,3,奈雪的茶
19,3,奈雪的茶
22,20,奈雪的茶
26,6,奈雪的茶
21,3,奈雪的茶
22,34,奈雪的茶
16,20,奈雪的茶
22,9,奈雪的茶
16,14,奈雪的茶
21,11,奈雪的茶
15,27,奈雪的茶
19,12,奈雪的茶
13,12,奈雪的茶
32,17,奈雪的茶
23,71,奈雪的茶
18,38,奈雪的茶
22,6,奈雪的茶
22,6,奈雪的茶
16,10,COCO&LUCKY
18,25,COCO&LUCKY
19,28,COCO&LUCKY
14,2,COCO&LUCKY
17,10,COCO&LUCKY
22,32,COCO&LUCKY
